             CooksD  CooksD_flag  StdResid  StdResid_flag  StudResid  StudResid_flag    DFFITS  DFFITS_flag  COVRATIO  COVRATIO_flag  DFBETAS_flag
255.0  1.533705e-04        False -0.410558          False  -0.410098           False -0.056688        False  1.067989          False         False
256.0  2.763879e-06        False  0.078214          False   0.078109           False  0.007608        False  1.029508          False         False
257.0  4.796632e-04        False -0.853947          False  -0.853635           False -0.100327        False  1.065151          False         False
258.0  6.171854e-06        False -0.131910          False  -0.131735           False -0.011370        False  1.048728          False         False
259.0  2.026951e-04        False -0.604394          False  -0.603876           False -0.065187        False  1.077506          False         False
260.0  1.213000e-05        False -0.116069          False  -0.115914           False -0.015939        False  0.990514          False         False
261.0  5.990912e-04        False -1.154671          False  -1.155192           False -0.112215        False  1.093492          False         False
262.0  1.169650e-05        False  0.085419          False   0.085305           False  0.015651        False  1.036092          False          True
263.0  2.978272e-03        False -1.114145          False  -1.114508           False -0.250169        False  1.021217          False          True
264.0  2.900533e-03        False -1.177747          False  -1.178363           False -0.246931        False  1.069522          False         False
265.0  1.017580e-04        False  0.348751          False   0.348337           False  0.046172        False  1.068128          False         False
266.0  7.185177e-05        False  0.316907          False   0.316522           False  0.038797        False  1.146801          False         False
267.0  8.032137e-05        False  0.141011          False   0.140825           False  0.041016        False  1.137883          False          True
268.0  2.719159e-03        False -0.727472          False  -0.727009           False -0.238809        False  1.068215          False         False
269.0  2.232558e-04        False  0.464301           True   0.463809            True  0.068399         True  0.790911           True          True
270.0  3.066857e-02        False -2.589310          False  -2.609505           False -0.808780        False  1.053764          False         False
271.0  5.152930e-04        False -0.688735          False  -0.688246           False -0.103951        False  1.070214          False         False
272.0  1.073924e-04        False -0.350909          False  -0.350494           False -0.047433        False  0.986366          False          True
273.0  6.697189e-03        False -1.513222          False  -1.515866           False -0.375677        False  0.998712          False          True
274.0  8.874348e-03        False -1.536087          False  -1.538917           False -0.432491         True  1.316335           True          True
275.0  2.809004e-02        False -1.273585          False  -1.274657           False -0.768690         True  1.152126          False          True
276.0  1.146259e-02        False -1.168535          False  -1.169113           False -0.490869         True  1.384165           True          True
277.0  2.589929e-02        False -1.151681          False  -1.152189           False -0.737811        False  1.100655          False         False
278.0  4.294439e-04        False -0.422336          False  -0.421867           False -0.094860        False  1.056626          False         False
279.0  8.323551e-04        False -0.752039          False  -0.751598           False -0.132132        False  1.065626          False         False
